name;user;gender
1st1;Yury Selivanov;not_identified
abalkin;Alexander Belopolsky;M
aeros;Kyle Stanley;N
akheron;Petri Lehtinen;not_identified
akuchling;Andrew Kuchling;M
alex;Alex Gaynor;N
amauryfa;Amaury Forgeot d'Arc;not_identified
ammaraskar;Ammar Askar;not_identified
andrewschoen;Andrew Schoen;M
applio;Davin Potts;M
avassalotti;Alexandre Vassalotti;not_identified
benjaminws;Benjamin W. Smith;M
berkerpeksag;Berker Peksag;not_identified
birkenfeld;Georg Brandl;M
bitdancer;R. David Murray;not_identified
brandtbucher;Brandt Bucher;not_identified
brettcannon;Brett Cannon;N
briancurtin;Brian Curtin;M
cjerdonek;Chris Jerdonek;N
claytron;Clayton Parker;M
coderanger;Noah Kantrowitz;M
corona10;Dong-hee Na;not_identified
CuriousLearner;Sanyam Khurana;not_identified
davidmalcolm;David Malcolm;M
dhellmann;Doug Hellmann;M
di;Dustin Ingram;M
dianaclarke;diana;not_identified
djc;Dirkjan Ochtman;not_identified
doko42;Matthias Klose;M
dstufft;Donald Stufft;M
eliben;Eli Bendersky;M
emilyemorehouse;Emily Morehouse;F
encukou;Petr Viktorin;M
ericsnowcurrently;Eric Snow;M
ericvsmith;Eric V. Smith;M
ethanfurman;Ethan Furman;M
ewdurbin;Ernest W. Durbin III;M
ezio-melotti;Ezio Melotti;not_identified
facundobatista;Facundo Batista;not_identified
frankwiles;Frank Wiles;N
freddrake;Fred Drake;N
glasnt;Katie McLaughlin;F
GMLudo;Ludovic Gasc;not_identified
gpshead;Gregory P. Smith;M
gvanrossum;Guido van Rossum;M
holdenweb;Steve Holden;M
hynek;Hynek Schlawack;not_identified
isidentical;Batuhan Taskaya;not_identified
jackiekazil;Jackie Kazil;N
jackjansen;Jack Jansen;M
jaraco;Jason R. Coombs;M
jcea;Jesús Cea;not_identified
jefftriplett;Jeff Triplett;M
jesstess;Jessica McKellar;F
jezdez;Jannis Leidel;not_identified
JulienPalard;Julien Palard;not_identified
kgrandis;kurt grandis;not_identified
kushaldas;Kushal Das;not_identified
malemburg;Marc-Andre Lemburg;not_identified
Mariatta;Mariatta;not_identified
Martiusweb;Martin Richard;M
matrixise;Stéphane Wirtel;not_identified
mdickinson;Mark Dickinson;M
meadori;Meador Inge;not_identified
methane;Inada Naoki;not_identified
mitsuhiko;Armin Ronacher;not_identified
nascheme;Neil Schemenauer;M
ned-deily;Ned Deily;M
nedbat;Ned Batchelder;M
nlhkabu;Nicole Harris;F
nnja;Nina Zakharenko;F
orsenthil;Senthil Kumaran;not_identified
pablogsal;Pablo Galindo;M
pfmoore;Paul Moore;M
pganssle;Paul Ganssle;M
pitrou;Antoine Pitrou;M
pjenvey;Philip Jenvey;M
pythonchelle;Michelle Rowley;F
rbtcollins;Robert Collins;M
rochacbruno;Bruno Rocha;M
serhiy-storchaka;Serhiy Storchaka;not_identified
sjoerdmullender;Sjoerd Mullender;not_identified
skrah;Stefan Krah;M
stevendaprano;stevendaprano;not_identified
terryjreedy;Terry Jan Reedy;N
tim-one;Tim Peters;N
tiran;Christian Heimes;N
tirkarthi;Karthikeyan Singaravelan;not_identified
tjguk;Tim Golden;N
tpn;Trent Nelson;M
treyhunner;Trey Hunner;M
tswicegood;Travis Swicegood;M
vadmium;Martin Panter;M
VanL;VanL;not_identified
vlasovskikh;Andrey Vlasovskikh;M
vsajip;Vinay Sajip;not_identified
vstinner;Victor Stinner;M
warsaw;Barry Warsaw;N
wolever;David Wolever;M
Yhg1s;T. Wouters;not_identified
zhangyangyu;Xiang Zhang;not_identified
zooba;Steve Dower;M
zware;Zachary Ware;M
