technical	name	description	url	contributors_url	commits_url	comments_url	issue_comment_url	language	forks_count	stargazers_count	archived
True	getpython3.com	getpython3.com page and resources.	https://api.github.com/repos/python/getpython3.com	https://api.github.com/repos/python/getpython3.com/contributors	https://api.github.com/repos/python/getpython3.com/commits{/sha}	https://api.github.com/repos/python/getpython3.com/comments{/number}	https://api.github.com/repos/python/getpython3.com/issues/comments{/number}	CSS	13	39	False
False	community-starter-kit	Collection of resources for Python community organizers	https://api.github.com/repos/python/community-starter-kit	https://api.github.com/repos/python/community-starter-kit/contributors	https://api.github.com/repos/python/community-starter-kit/commits{/sha}	https://api.github.com/repos/python/community-starter-kit/comments{/number}	https://api.github.com/repos/python/community-starter-kit/issues/comments{/number}	Python	43	37	False
False	psf-docs	PSF Docs	https://api.github.com/repos/python/psf-docs	https://api.github.com/repos/python/psf-docs/contributors	https://api.github.com/repos/python/psf-docs/commits{/sha}	https://api.github.com/repos/python/psf-docs/comments{/number}	https://api.github.com/repos/python/psf-docs/issues/comments{/number}	Python	8	15	False
False	historic-python-materials	Contains some old pages from python.org	https://api.github.com/repos/python/historic-python-materials	https://api.github.com/repos/python/historic-python-materials/contributors	https://api.github.com/repos/python/historic-python-materials/commits{/sha}	https://api.github.com/repos/python/historic-python-materials/comments{/number}	https://api.github.com/repos/python/historic-python-materials/issues/comments{/number}	Python	8	10	False
True	psf-chef	Chef configuration and cookbooks for the Python Software Foundation	https://api.github.com/repos/python/psf-chef	https://api.github.com/repos/python/psf-chef/contributors	https://api.github.com/repos/python/psf-chef/commits{/sha}	https://api.github.com/repos/python/psf-chef/comments{/number}	https://api.github.com/repos/python/psf-chef/issues/comments{/number}	Ruby	48	39	False
True	psfoutreach	PSF Outreach website	https://api.github.com/repos/python/psfoutreach	https://api.github.com/repos/python/psfoutreach/contributors	https://api.github.com/repos/python/psfoutreach/commits{/sha}	https://api.github.com/repos/python/psfoutreach/comments{/number}	https://api.github.com/repos/python/psfoutreach/issues/comments{/number}	Shell	7	3	False
True	pythondotorg	Source code for python.org	https://api.github.com/repos/python/pythondotorg	https://api.github.com/repos/python/pythondotorg/contributors	https://api.github.com/repos/python/pythondotorg/commits{/sha}	https://api.github.com/repos/python/pythondotorg/comments{/number}	https://api.github.com/repos/python/pythondotorg/issues/comments{/number}	Python	417	1001	False
True	mypy	Optional static typing for Python 3 and 2 (PEP 484)	https://api.github.com/repos/python/mypy	https://api.github.com/repos/python/mypy/contributors	https://api.github.com/repos/python/mypy/commits{/sha}	https://api.github.com/repos/python/mypy/comments{/number}	https://api.github.com/repos/python/mypy/issues/comments{/number}	Python	1460	9149	False
True	raspberryio	Source code for raspberry.io	https://api.github.com/repos/python/raspberryio	https://api.github.com/repos/python/raspberryio/contributors	https://api.github.com/repos/python/raspberryio/commits{/sha}	https://api.github.com/repos/python/raspberryio/comments{/number}	https://api.github.com/repos/python/raspberryio/issues/comments{/number}	Python	38	215	False
False	pycon-code-of-conduct	pycon code of conduct	https://api.github.com/repos/python/pycon-code-of-conduct	https://api.github.com/repos/python/pycon-code-of-conduct/contributors	https://api.github.com/repos/python/pycon-code-of-conduct/commits{/sha}	https://api.github.com/repos/python/pycon-code-of-conduct/comments{/number}	https://api.github.com/repos/python/pycon-code-of-conduct/issues/comments{/number}		97	83	False
